ROW,OD600,CFU,STY09 ,Unstained,DAPI,CFU_SZ
1,2.00E-01,4.00E+08,6.61E+05,6.67E+00,5.87E+04,
2,2.00E-02,4.00E+07,8.47E+05,4.29E+05,2.09E+05,
3,2.00E-03,4.00E+06,3.80E+05,8.58E+04,1.58E+05,
4,2.00E-04,4.00E+05,9.12E+04,6.83E+03,1.43E+05,
5,2.00E-05,4.00E+04,1.30E+04,1.12E+03,1.13E+05,5640
6,2.00E-06,4.00E+03,2.53E+03,4.97E+02,9.06E+04,1040
7,2.00E-07,4.00E+02,1.62E+03,5.60E+02,8.57E+04,390
8,2.00E-08,4.00E+01,1.04E+03,3.23E+02,8.91E+04,
9,2.00E-09,4.00E+00,1.91E+03,2.20E+02,8.31E+04,
10,0.00E+00,0.00E+00,9.73E+02,2.30E+02,1.04E+05,
