ROW,CFU,STY09,Unstained,DAPI,DS_Dead,DS_Live
1,0.00E+00,1.04E+04,330,15760,4.01E+03,13720
1,0.00E+00,3.47E+03,200,5540,9.80E+02,20550
1,0.00E+00,2.59E+03,300,3380,6.80E+02,16020
2,4.00E+00,1.12E+04,4640,1970,1.90E+02,13210
2,4.00E+00,8.65E+03,1460,25060,7.74E+03,16500
2,4.00E+00,9.72E+03,1770,1840,1.70E+02,11940
3,4.00E+01,1.12E+04,7800,4550,1.91E+03,3260
3,4.00E+01,4.24E+04,24670,4570,1.17E+03,4790
3,4.00E+01,1.38E+04,3900,3150,2.20E+02,7080
4,4.00E+02,1.14E+04,8200,3740,1.36E+03,2940
4,4.00E+02,2.92E+04,7870,2610,1.40E+02,6210
4,4.00E+02,9.95E+03,1870,2800,6.00E+01,7900
5,4.00E+03,1.69E+04,13690,12590,4.59E+03,4580
5,4.00E+03,1.97E+04,6090,4460,7.40E+02,6910
5,4.00E+03,2.39E+04,9130,19040,6.85E+03,7610
6,4.00E+04,4.35E+04,26660,8870,2.20E+02,24400
6,4.00E+04,6.11E+04,21160,11410,1.00E+02,26140
6,4.00E+04,2.73E+04,5940,15950,1.91E+03,19730
7,4.00E+05,2.39E+05,189680,100160,7.20E+02,223290
7,4.00E+05,2.35E+05,93790,106170,2.50E+02,207760
7,4.00E+05,2.32E+05,47100,105560,1.10E+02,209760
8,4.00E+06,2.13E+06,1248760,950010,9.00E+01,1875780
8,4.00E+06,2.07E+06,690080,981780,0.00E+00,1907770
8,4.00E+06,2.97E+06,495520,1052650,8.00E+01,1891670
9,4.00E+07,4.79E+06,3831160,3224460,1.57E+03,5222930
9,4.00E+07,4.95E+06,2348920,3760050,1.60E+02,5182900
9,4.00E+07,5.09E+06,1605290,3693640,6.40E+02,5245860
10,4.00E+08,2.33E+06,1509440,512330,5.90E+02,919810
10,4.00E+08,2.42E+06,640960,827060,3.30E+02,1105380
10,4.00E+08,2.37E+06,319000,928580,1.50E+02,1007070
