ROW,CFU,STY09_R1,STY09_LIVE,Unstained_R1,DAPI_LD,DS_R1,DS_Live
1,0.00E+00,9.67E+03,5.64E+03,8.73E+02,4.84E+04,10726.66667,50873.33333
2,4.00E+00,1.80E+04,1.02E+04,2.78E+03,3.59E+04,10450,48536.66667
3,4.00E+01,3.41E+04,2.34E+04,1.52E+04,2.01E+04,3460,31580
4,4.00E+02,2.61E+04,1.78E+04,4.85E+03,1.58E+04,3743.333333,33333.33333
5,4.00E+03,3.06E+04,2.10E+04,9.82E+03,4.20E+04,5463.333333,31023.33333
6,4.00E+04,6.21E+04,4.55E+04,2.38E+04,3.49E+04,22163.33333,36150
7,4.00E+05,2.54E+05,2.36E+05,1.62E+05,2.12E+05,208016.6667,154356.6667
8,4.00E+06,2.13E+06,2.09E+06,1.33E+06,1.65E+06,1863066.667,1608610
9,4.00E+07,4.94E+06,4.94E+06,3.66E+06,3.85E+06,4649526.667,3494670
10,4.00E+08,1.52E+06,2.36E+06,1.02E+06,8.43E+05,675590,566180
